epoch,train_loss
1,0.70565
2,0.6981883
3,0.68882996
4,0.6825445
5,0.67820007
6,0.67259264
7,0.66929793
8,0.6688478
9,0.66603523
10,0.6641694
11,0.66544497
12,0.66569823
13,0.66528475
14,0.664964
15,0.6680102
16,0.6678431
17,0.6731218
18,0.6745336
19,0.67859024
20,0.68242866
21,0.68550026
22,0.6865812
23,0.6910785
24,0.6912546
25,0.69890785
26,0.69881964
27,0.7031057
28,0.7087653
29,0.70972085
30,0.7156535
31,0.7223783
32,0.726121
33,0.72965586
34,0.7322499
35,0.741682
36,0.7499175
37,0.75933063
38,0.7590285
39,0.7631021
40,0.7734648
41,0.77492934
42,0.78422755
43,0.793584
44,0.79965466
45,0.80071735
46,0.80624163
47,0.8128744
48,0.8258414
49,0.8292604
50,0.8334687
51,0.85127014
52,0.8562419
53,0.85815537
54,0.8652189
55,0.8726094
56,0.88485146
57,0.8940933
58,0.8912408
59,0.9091359
60,0.9045367
61,0.9201058
62,0.9178187
63,0.92720693
64,0.95156723
65,0.94870716
66,0.96368986
67,0.9576638
68,0.98407817
69,0.9794564
70,0.9964367
71,1.0011591
72,1.0079846
73,1.0072187
74,1.0091072
75,1.0291535
76,1.0505544
77,1.0430665
78,1.0520517
79,1.0623293
80,1.0785679
81,1.0785633
82,1.0980191
83,1.1030136
84,1.1157672
85,1.1111122
86,1.1016381
87,1.1193756
88,1.1389529
89,1.1469545
90,1.1426252
91,1.1668206
92,1.1646562
93,1.1682956
94,1.1770823
95,1.1894407
96,1.192843
97,1.2029159
98,1.1888427
99,1.212122
100,1.2081084
101,1.2431121
102,1.2661847
103,1.2612578
104,1.2459978
105,1.2714909
106,1.289352
107,1.2572694
108,1.2998567
109,1.2812055
110,1.2970031
111,1.305157
112,1.3158267
113,1.322263
114,1.3464032
115,1.3569276
116,1.3637502
117,1.3983564
118,1.3685386
119,1.3650393
120,1.3654913
121,1.4038656
122,1.4269613
123,1.4108322
124,1.4540923
125,1.422308
126,1.4180056
127,1.3997165
128,1.4199845
129,1.4746692
130,1.4895874
131,1.5187794
132,1.4634751
133,1.454348
134,1.4809928
135,1.5121125
136,1.4767941
137,1.4942443
138,1.4973159
139,1.5377945
140,1.5395976
141,1.5644296
142,1.5407536
143,1.5262672
144,1.494512
145,1.5923717
146,1.5878334
147,1.6086106
148,1.5667502
149,1.5425358
150,1.5696467
151,1.5716014
152,1.5849851
153,1.6070753
154,1.588452
155,1.5849882
156,1.5756334
157,1.5796084
158,1.6217303
159,1.6317568
160,1.5948637
161,1.6100765
162,1.584946
163,1.5846732
164,1.6485091
165,1.6291605
166,1.6356931
167,1.6273451
168,1.6342392
169,1.6360087
170,1.605952
171,1.6264517
172,1.6518488
173,1.6052061
174,1.6055812
175,1.6708136
176,1.6583683
177,1.6199714
178,1.5978352
179,1.6277539
180,1.678492
181,1.633026
182,1.6444875
183,1.6604042
184,1.6920223
185,1.6822506
186,1.6126287
187,1.6747575
188,1.6543862
189,1.6219443
190,1.6540061
191,1.6958776
192,1.6503934
193,1.596766
194,1.6057736
195,1.6135193
196,1.5689247
197,1.6300832
198,1.6171788
199,1.5974884
200,1.5181929
201,1.5976548
202,1.6282088
203,1.5627689
204,1.5512164
205,1.6053126
206,1.5621678
207,1.5979354
208,1.6746051
209,1.6196518
210,1.5413184
211,1.5846272
212,1.5677645
213,1.6014658
214,1.5432922
215,1.6332897
216,1.6515473
217,1.5244813
218,1.588387
219,1.5603014
220,1.530158
221,1.5951287
222,1.5485432
223,1.5246781
224,1.5173362
225,1.5610292
226,1.53502
227,1.481808
228,1.5585669
229,1.5446655
230,1.5605015
231,1.478232
232,1.4719121
233,1.5326577
234,1.5406833
235,1.4973559
236,1.4113234
237,1.4943111
238,1.4867709
239,1.4377421
240,1.4854646
241,1.5096035
242,1.4846876
243,1.5159329
244,1.4732434
245,1.4396504
246,1.4951174
247,1.4789263
248,1.4186364
249,1.3792245
250,1.4868146
251,1.4754864
252,1.4189798
253,1.4383214
254,1.4102367
255,1.4592966
256,1.4118327
257,1.377055
258,1.4005871
259,1.3749071
260,1.4269221
261,1.4331653
262,1.365756
263,1.3659698
264,1.380577
265,1.3665911
266,1.4036722
267,1.332525
268,1.3880278
269,1.295588
270,1.365796
271,1.3688749
272,1.3165014
273,1.2901529
274,1.3376876
275,1.331733
276,1.3415959
277,1.3820087
278,1.3308328
279,1.3091582
280,1.3026117
281,1.3358469
282,1.3342884
283,1.2889434
284,1.2658589
285,1.2735034
286,1.2754824
287,1.3184664
288,1.2968162
289,1.3077676
290,1.3155539
291,1.2778621
292,1.2758052
293,1.2647551
294,1.3183769
295,1.3545581
296,1.2543665
297,1.2578181
298,1.2494245
299,1.2821673
300,1.240717
301,1.2159226
302,1.2657975
303,1.2695009
304,1.2803298
305,1.2111597
306,1.2208217
307,1.2904185
308,1.2640105
309,1.2406696
310,1.2171308
311,1.219416
312,1.2124112
313,1.18788
314,1.2040601
315,1.2406298
316,1.2171689
317,1.1799747
318,1.1736482
319,1.1780756
320,1.1836562
321,1.209273
322,1.1947435
323,1.1926744
324,1.1918882
325,1.1848241
326,1.1648961
327,1.1478584
328,1.1594497
329,1.1998703
330,1.152452
331,1.1835352
332,1.181128
333,1.1501176
334,1.1408194
335,1.1754034
336,1.1875659
337,1.1419102
338,1.1773754
339,1.1316735
340,1.1356394
341,1.1060634
342,1.1327662
343,1.182601
344,1.1317952
345,1.1155075
346,1.1191707
347,1.1647654
348,1.1423267
349,1.1668541
350,1.1198363
351,1.1104741
352,1.1477917
353,1.1461372
354,1.1258044
355,1.1212324
356,1.1454613
357,1.141614
358,1.1123314
359,1.1031877
360,1.1101036
361,1.109864
362,1.1115843
363,1.1314318
364,1.1012586
365,1.0744485
366,1.1092452
367,1.0831121
368,1.1078972
369,1.088182
370,1.05825
371,1.0548344
372,1.0758064
373,1.1312995
374,1.0893774
375,1.0806072
376,1.0760303
377,1.0745618
378,1.0813364
379,1.0563223
