epoch,train_loss
1,0.70071
2,0.69491273
3,0.69124866
4,0.6867988
5,0.68284625
6,0.67906874
7,0.67494607
8,0.67248833
9,0.6692171
10,0.6648039
11,0.6629233
12,0.65771097
13,0.65427876
14,0.6506446
15,0.64847237
16,0.64559215
17,0.6418876
18,0.63995534
19,0.63642037
20,0.631545
21,0.63084495
22,0.6265411
23,0.62383497
24,0.6198659
25,0.6156328
26,0.6138566
27,0.6101996
28,0.60967356
29,0.60162085
30,0.6016647
31,0.5966982
32,0.59608215
33,0.5917471
34,0.5897591
35,0.5851032
36,0.5817426
37,0.5775616
38,0.5782314
39,0.5720032
40,0.56888986
41,0.5629123
42,0.5622759
43,0.55748016
44,0.5548314
45,0.55102795
46,0.54737496
47,0.5428553
48,0.54229397
49,0.5395912
50,0.5343852
51,0.5306012
52,0.52882606
53,0.524366
54,0.5225378
55,0.5177871
56,0.51814556
57,0.50958836
58,0.5133217
59,0.50424296
60,0.5023121
61,0.50360864
62,0.4952487
63,0.49760237
64,0.49045202
65,0.4874815
66,0.48296222
67,0.48277932
68,0.47814143
69,0.47582462
70,0.478815
71,0.46817902
72,0.467924
73,0.46211615
74,0.46289605
75,0.45434088
76,0.45919487
77,0.45602563
78,0.4515888
79,0.45101583
80,0.44781303
81,0.4456538
82,0.44068614
83,0.43842822
84,0.443337
85,0.4328071
86,0.42753592
87,0.42827445
88,0.42104495
89,0.42648292
90,0.42350006
91,0.42267442
92,0.41874096
93,0.4164192
94,0.41838804
95,0.4168823
96,0.40695867
97,0.41174594
98,0.39926293
99,0.3973731
100,0.40675363
101,0.40911123
102,0.4020975
103,0.4051719
104,0.3928996
105,0.39910612
106,0.3935959
107,0.39440957
108,0.39487922
109,0.39320853
110,0.38294113
111,0.38527206
112,0.38020977
113,0.3822364
114,0.39336738
115,0.3849854
116,0.38136378
117,0.38278884
118,0.38318443
119,0.38074553
120,0.37548867
121,0.38288417
122,0.3822809
123,0.38823944
124,0.3800397
125,0.3707094
126,0.38143092
127,0.3835443
128,0.37551513
129,0.37658066
130,0.3878038
131,0.3805727
132,0.37769327
133,0.37472284
134,0.38408405
135,0.3839078
136,0.37676373
137,0.36076286
138,0.37082815
139,0.3597608
140,0.37550908
141,0.38345447
142,0.3802056
143,0.3728271
144,0.37720382
