epoch,train_loss
1,2.1392298
2,2.1220446
3,2.1200807
4,2.1193118
5,2.1023862
6,2.113132
7,2.1045463
8,2.0944533
9,2.0732532
10,2.086615
11,2.077266
12,2.0814683
13,2.0726597
14,2.0668123
15,2.058051
16,2.0459416
17,2.057396
18,2.0410333
19,2.030139
20,2.038187
21,2.01941
22,2.034141
23,2.033504
24,1.9939902
25,2.0028768
26,2.0113957
27,2.0035696
28,1.9668133
29,1.9731227
30,1.9841281
31,1.978811
32,1.9733043
33,1.9555476
34,1.9570361
35,1.933584
36,1.9368768
37,1.93459
38,1.9391019
39,1.9097227
40,1.9352193
41,1.9079144
42,1.9107714
43,1.904574
44,1.8985449
45,1.8902656
46,1.8909465
47,1.8822659
48,1.8739102
49,1.8656023
50,1.8667568
51,1.8514311
52,1.8459331
53,1.8452812
54,1.8447734
55,1.8269573
56,1.8304867
57,1.8343204
58,1.8184074
59,1.8112099
60,1.796252
61,1.7997907
62,1.7860867
63,1.7770768
64,1.7868325
65,1.7705226
66,1.7630758
67,1.7680682
68,1.756286
69,1.7304151
70,1.7335744
71,1.7152781
72,1.7270191
73,1.7194632
74,1.701535
75,1.7054975
76,1.7040929
77,1.698503
78,1.6705141
79,1.6841415
80,1.6802492
81,1.6515049
82,1.6460371
83,1.6589442
84,1.641096
85,1.6564462
86,1.6308024
87,1.6189345
88,1.634867
89,1.61791
90,1.6104711
91,1.5998667
92,1.5884846
93,1.5900072
94,1.579922
95,1.566751
96,1.5781503
97,1.5727375
98,1.558223
99,1.5446002
100,1.5493758
101,1.5524815
102,1.5266957
103,1.5406929
104,1.5067775
105,1.5108134
106,1.5036994
107,1.4948007
108,1.4944601
109,1.4868592
110,1.4864279
111,1.4804931
112,1.4637225
113,1.4567751
114,1.4543903
115,1.4527755
116,1.4400859
117,1.439762
118,1.4394909
119,1.4300274
120,1.4215188
121,1.3911734
122,1.4090331
123,1.4074533
124,1.3813556
125,1.3933809
126,1.373375
127,1.3824021
128,1.364225
129,1.377434
130,1.3684481
131,1.3671902
132,1.3435646
133,1.3379672
134,1.3180202
135,1.3453653
136,1.3209937
137,1.3185401
138,1.3045803
139,1.306471
140,1.3040048
141,1.2909973
142,1.2837745
143,1.2906721
144,1.2906075
145,1.2845302
146,1.2608272
147,1.2466028
148,1.2576212
149,1.2648388
150,1.2435112
151,1.2372116
152,1.22783
153,1.2252363
154,1.2293637
155,1.205804
156,1.2260767
157,1.2174642
158,1.2120156
159,1.2035456
160,1.2061225
161,1.1884124
162,1.2014767
163,1.1838559
164,1.1835519
165,1.1655821
166,1.1780055
167,1.163655
168,1.1527491
169,1.1555647
170,1.148752
171,1.1536944
172,1.1422758
173,1.136205
174,1.1307902
175,1.1215612
176,1.1145461
177,1.1294519
178,1.0909196
179,1.0971019
180,1.1024003
181,1.0778376
182,1.1006438
183,1.0804491
184,1.0734932
185,1.0809764
186,1.0707666
187,1.0773119
188,1.0588723
189,1.0518907
190,1.0546126
191,1.0457348
192,1.0543952
193,1.0404453
194,1.051782
195,1.0228806
196,1.031804
197,1.0174437
198,1.0177058
199,1.0144496
200,1.0091219
201,0.9963725
202,0.9795998
203,1.0044992
204,0.9884027
205,0.99341625
206,0.9694814
207,0.96969575
208,0.97573924
