epoch,acc
1,0.48558474
2,0.50639385
3,0.5308068
4,0.54684955
5,0.56161356
6,0.5882353
7,0.5893978
8,0.5964892
9,0.5945129
10,0.5981167
11,0.6043943
12,0.6161358
13,0.6164845
14,0.626831
15,0.6304348
16,0.63915366
17,0.6360149
18,0.64264125
19,0.66275287
20,0.6686817
21,0.6671704
22,0.67658687
23,0.68774706
24,0.6933271
25,0.70390606
26,0.70041853
27,0.7108812
28,0.7046036
29,0.72459894
30,0.71855384
31,0.7348291
32,0.72529644
33,0.73401535
34,0.7352941
35,0.7450593
36,0.7475006
37,0.74784935
38,0.7513369
39,0.76168334
40,0.7662172
41,0.77691233
42,0.7687747
43,0.7709835
44,0.7785399
45,0.7887701
46,0.78505
47,0.7913276
48,0.79260635
49,0.7888863
50,0.79969776
51,0.8066729
52,0.799349
53,0.8031853
54,0.8053941
55,0.8067891
56,0.8078354
57,0.82271564
58,0.8027203
59,0.8174843
60,0.82294816
61,0.8119042
62,0.8235294
63,0.8214369
64,0.8317833
65,0.8332946
66,0.8317833
67,0.828412
68,0.8391072
69,0.83410835
70,0.8295745
71,0.8362009
72,0.8388747
73,0.8453848
74,0.8391072
75,0.843176
76,0.8396884
77,0.8430598
78,0.8466636
79,0.8473611
80,0.8500349
81,0.84770983
82,0.85480124
83,0.85701
84,0.84817487
85,0.85701
86,0.8625901
87,0.8601488
88,0.8618926
89,0.85398746
90,0.8578238
91,0.85445243
92,0.8596838
93,0.86166006
94,0.85701
95,0.85468495
96,0.8646826
97,0.86270636
98,0.86782146
99,0.8740991
100,0.85642874
101,0.8567775
102,0.8602651
103,0.85933506
104,0.86828643
105,0.85828876
106,0.86596143
107,0.8629389
108,0.86340386
109,0.85666126
110,0.87119275
111,0.86828643
112,0.8725878
113,0.8647989
114,0.85515
115,0.857475
116,0.8599163
117,0.8636364
118,0.85445243
119,0.8620088
120,0.86689144
121,0.85491747
122,0.8594513
123,0.84968615
124,0.8541037
125,0.8638689
126,0.8502674
127,0.85154617
128,0.85817254
129,0.85305744
130,0.844106
131,0.8482911
132,0.85201114
133,0.85422
134,0.84689605
135,0.84457105
136,0.84956986
137,0.85794
138,0.8517787
139,0.86270636
140,0.84794235
141,0.83922344
142,0.84364104
143,0.84503603
144,0.8460823
145,0.8463148
146,0.8379447
147,0.8371309
148,0.84352475
149,0.8407347
150,0.84550107
151,0.84108347
152,0.83771217
153,0.8402697
154,0.8344571
155,0.8336433
156,0.8400372
157,0.8345733
158,0.8370147
159,0.8337596
160,0.8259707
161,0.83724713
162,0.82783073
163,0.8378284
164,0.83341086
165,0.83747965
166,0.82631946
167,0.82387817
168,0.82364565
169,0.83678216
170,0.8291095
171,0.82341313
172,0.81841433
173,0.82887703
174,0.82806325
175,0.82120436
176,0.815508
177,0.8207394
178,0.8167868
179,0.8070216
180,0.8070216
181,0.8242269
182,0.8049291
183,0.8189956
184,0.8163218
185,0.8034178
186,0.8137642
187,0.8109742
188,0.8063241
189,0.79946524
190,0.80062777
191,0.8015578
192,0.8066729
193,0.80818415
194,0.80306906
195,0.8033016
